scenario,seed,channel,lambda,par,fpr,fnr,par_zero,delta_proc,coupling_proxy
crowd_acceleration,24,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,25,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,26,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,27,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,28,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,29,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,30,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
audio_stress_signal,1,zone_permutation,0.0,0.9091,0.0,0.0909,0.9091,0.0,1.0
audio_stress_signal,2,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
audio_stress_signal,3,zone_permutation,0.0,0.7273,0.0,0.2727,0.7273,0.0,1.0
audio_stress_signal,4,zone_permutation,0.0,0.7273,0.0,0.2727,0.7273,0.0,1.0
audio_stress_signal,5,zone_permutation,0.0,0.9091,0.0,0.0909,0.9091,0.0,1.0
audio_stress_signal,6,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,7,zone_permutation,0.0,0.9091,0.0,0.0909,0.9091,0.0,1.0
audio_stress_signal,8,zone_permutation,0.0,0.8,0.0,0.2,0.8,0.0,1.0
audio_stress_signal,9,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
audio_stress_signal,10,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,11,zone_permutation,0.0,0.9091,0.0,0.0909,0.9091,0.0,1.0
audio_stress_signal,12,zone_permutation,0.0,0.7273,0.0,0.2727,0.7273,0.0,1.0
audio_stress_signal,13,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,14,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,15,zone_permutation,0.0,0.6364,0.0,0.3636,0.6364,0.0,1.0
audio_stress_signal,16,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,17,zone_permutation,0.0,0.9091,0.0,0.0909,0.9091,0.0,1.0
audio_stress_signal,18,zone_permutation,0.0,0.9091,0.0,0.0909,0.9091,0.0,1.0
audio_stress_signal,19,zone_permutation,0.0,0.7273,0.0,0.2727,0.7273,0.0,1.0
audio_stress_signal,20,zone_permutation,0.0,0.9091,0.0,0.0909,0.9091,0.0,1.0
audio_stress_signal,21,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,22,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
audio_stress_signal,23,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,24,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
audio_stress_signal,25,zone_permutation,0.0,0.9091,0.0,0.0909,0.9091,0.0,1.0
audio_stress_signal,26,zone_permutation,0.0,0.8,0.0,0.2,0.8,0.0,1.0
audio_stress_signal,27,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,28,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,29,zone_permutation,0.0,0.8182,0.0,0.1818,0.8182,0.0,1.0
audio_stress_signal,30,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
normal_flow,1,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.999
