paper_baseline,baseline_id,scenario,seed,event_detection_accuracy,false_positive_rate,false_negative_rate,explanation_completeness_score,privacy_violation_count,end_to_end_latency_ms
B4,no_explanation_layer,exit_blockage,13,0.0,1.0,1.0,0.0,0,180.0
B5,dualexis_full_pipeline,exit_blockage,13,0.5,0.375,0.5,1.0,0,180.0
B1,single_modality_alert,exit_blockage,14,0.5,0.3333,0.5,1.0,0,331.0
B2,rule_based_fusion,exit_blockage,14,0.05,0.0,0.95,1.0,0,319.0
B3,temporal_graph,exit_blockage,14,0.5,0.3333,0.5,1.0,0,364.0
B4,no_explanation_layer,exit_blockage,14,0.0,1.0,1.0,0.0,0,181.0
B5,dualexis_full_pipeline,exit_blockage,14,0.5,0.375,0.5,1.0,0,181.0
B1,single_modality_alert,exit_blockage,15,0.5,0.3333,0.5,1.0,0,332.0
B2,rule_based_fusion,exit_blockage,15,0.0,0.0,1.0,0.0,0,320.0
B3,temporal_graph,exit_blockage,15,0.5,0.3333,0.5,1.0,0,365.0
B4,no_explanation_layer,exit_blockage,15,0.0,1.0,1.0,0.0,0,182.0
B5,dualexis_full_pipeline,exit_blockage,15,0.5,0.375,0.5,1.0,0,182.0
B1,single_modality_alert,exit_blockage,16,0.5,0.3333,0.5,1.0,0,333.0
B2,rule_based_fusion,exit_blockage,16,0.05,0.0,0.95,1.0,0,321.0
B3,temporal_graph,exit_blockage,16,0.5,0.3333,0.5,1.0,0,366.0
B4,no_explanation_layer,exit_blockage,16,0.0,1.0,1.0,0.0,0,183.0
B5,dualexis_full_pipeline,exit_blockage,16,0.5,0.375,0.5,1.0,0,183.0
B1,single_modality_alert,exit_blockage,17,0.5,0.3333,0.5,1.0,0,334.0
B2,rule_based_fusion,exit_blockage,17,0.05,0.0,0.95,1.0,0,322.0
B3,temporal_graph,exit_blockage,17,0.5,0.3333,0.5,1.0,0,367.0
B4,no_explanation_layer,exit_blockage,17,0.0,1.0,1.0,0.0,0,184.0
